x,y,waveform,color,neuron_index,dataset,pos_x,pos_y,timestamp,unit_id
12.9523945,2.6751902,"[ 0.0398561   0.04323008  0.04512182  0.04485692  0.0403408   0.03969419
  0.04703335  0.0513034   0.04857044  0.0504113   0.0543876   0.04658379
  0.04197103  0.05684401  0.06242637  0.06190105  0.11035651  0.13021965
 -0.06276479 -0.40325359 -0.57652809 -0.47499504 -0.29273402 -0.16958615
 -0.07972063 -0.00321531  0.03938218  0.05328982  0.05796783  0.06288694
  0.07133529  0.07742897  0.07577371  0.07487001  0.08045054  0.08478616
  0.08497873  0.08553259  0.08307504  0.07340169  0.06240954  0.05429517
  0.04611139  0.03704025  0.02837434  0.02142774  0.01923751  0.01926668
  0.0136506   0.00528687  0.60454545  0.55      ]",7,10,2023-09-16-T171332-chip19894_right_acqm.zip,2327.5,1155.0,2023-09-16-T171332,11.0
8.312482,4.3795424,"[ 5.30581419e-02  5.81109892e-02  6.13301431e-02  6.31225606e-02
  6.49826838e-02  6.87445023e-02  7.46719349e-02  7.86837826e-02
  7.59945251e-02  6.74565902e-02  5.66870833e-02  4.44863834e-02
  3.08824398e-02  1.54505910e-02 -4.97723524e-03 -3.27068484e-02
 -7.61638620e-02 -1.61459013e-01 -2.98055678e-01 -4.27985829e-01
 -4.64507022e-01 -3.90279082e-01 -2.66764742e-01 -1.52089021e-01
 -6.01489162e-02  1.17037000e-02  6.28880620e-02  9.58381842e-02
  1.16315531e-01  1.27548782e-01  1.31251716e-01  1.30280573e-01
  1.27398214e-01  1.23529031e-01  1.17973411e-01  1.10099750e-01
  1.00822816e-01  9.17187046e-02  8.28734146e-02  7.34737646e-02
  6.41036272e-02  5.55375683e-02  4.65207469e-02  3.61785778e-02
  2.63266750e-02  1.88704040e-02  1.36585545e-02  9.46646049e-03
  5.02277821e-03 -9.47268151e-05  6.22727273e-01  3.25000000e-01]",1,11,2023-09-16-T171332-chip19894_right_acqm.zip,2397.5,682.5,2023-09-16-T171332,12.0
-1.5906547,9.875422,"[ 0.05095401  0.05367058  0.04487284  0.0485317   0.05310514  0.04281455
  0.03443067  0.03534     0.03603485  0.04453309  0.06108797  0.06625143
  0.07086545  0.09134135  0.09565975  0.08894617  0.13693963  0.16581239
 -0.02056344 -0.3720794  -0.57274811 -0.4937987  -0.31135846 -0.17274531
 -0.0741073  -0.00367743  0.02971766  0.04322243  0.05206902  0.05226
  0.04664727  0.04727263  0.05780793  0.06889166  0.0690666   0.06059171
  0.05617859  0.05926621  0.062772    0.06159941  0.05465488  0.04520001
  0.03606024  0.01972417 -0.00298845 -0.00786611  0.01265685  0.02911006
  0.02303113  0.00954116  0.68181818  0.35      ]",8,12,2023-09-16-T171332-chip19894_right_acqm.zip,2625.0,735.0,2023-09-16-T171332,13.0
6.935556,13.01581,"[ 0.04637746  0.0488036   0.04916831  0.05057502  0.05367448  0.05825467
  0.0633903   0.06603766  0.06575817  0.06670436  0.06871766  0.06702443
  0.06434359  0.0664187   0.07059319  0.07296594  0.05494499 -0.04035441
 -0.23804072 -0.43742995 -0.49914833 -0.41627361 -0.29181292 -0.19002952
 -0.10963987 -0.04669648 -0.00333572  0.02813898  0.05341232  0.07138362
  0.08386692  0.09385661  0.10058361  0.10321873  0.103227    0.10222513
  0.10075433  0.09836417  0.0945051   0.08925941  0.08250925  0.07389714
  0.06420829  0.05497458  0.04668917  0.03886228  0.03157577  0.02535134
  0.01921807  0.01122273  0.55        0.34166667]",3,13,2023-09-16-T171332-chip19894_right_acqm.zip,2117.5,717.5,2023-09-16-T171332,14.0
11.17715,13.621736,"[ 0.04542306  0.05087688  0.0521039   0.05039242  0.05491813  0.06488306
  0.06863716  0.06356834  0.06141172  0.06651025  0.06894036  0.06952124
  0.07919884  0.08468994  0.07181244  0.07229236  0.08505184  0.0031709
 -0.22374702 -0.44773115 -0.50868602 -0.4294135  -0.30931387 -0.19001004
 -0.08882095 -0.02314534  0.01631372  0.04505568  0.0625561   0.0714806
  0.08103493  0.08992659  0.0912668   0.08706665  0.08430955  0.08462065
  0.08425226  0.07955416  0.07064625  0.06034434  0.05079159  0.04452542
  0.04428353  0.04688055  0.04443163  0.03429687  0.02271619  0.0175807
  0.01736284  0.01292989  0.62272727  0.475     ]",11,14,2023-09-16-T171332-chip19894_right_acqm.zip,2397.5,997.5,2023-09-16-T171332,15.0
6.620958,11.758796,"[ 0.04385214  0.0468625   0.04907805  0.0507813   0.05308092  0.05584869
  0.05925726  0.06354312  0.06607536  0.06593883  0.06580304  0.06418764
  0.06006529  0.0605837   0.06760706  0.07419763  0.06998688  0.01336733
 -0.14910501 -0.3696718  -0.49734511 -0.45970207 -0.33785974 -0.22595657
 -0.1394934  -0.06972031 -0.01935149  0.01633385  0.04501073  0.06533298
  0.07805698  0.0895903   0.100406    0.10518194  0.10394684  0.10253978
  0.10278532  0.10099043  0.09615884  0.09134038  0.08673384  0.07919058
  0.06852161  0.05817433  0.0499838   0.04267516  0.0351627   0.0279588
  0.02117278  0.01372343  0.55        0.34166667]",3,15,2023-09-16-T171332-chip19894_right_acqm.zip,2117.5,717.5,2023-09-16-T171332,16.0
-1.1299124,11.039697,"[ 0.02493926  0.02361628  0.02161859  0.02319845  0.02450274  0.02362965
  0.02618997  0.03128609  0.0314248   0.02808051  0.02580922  0.02448898
  0.03041786  0.05048886  0.09291419  0.17633001  0.24563943  0.13390185
 -0.19710179 -0.49447638 -0.52826292 -0.38234976 -0.24116021 -0.13906534
 -0.05160277  0.00407523  0.02790896  0.04633842  0.06307539  0.06986985
  0.07273271  0.08032645  0.09245685  0.10368028  0.10707013  0.09977924
  0.08565436  0.06768005  0.04656532  0.02966077  0.02499569  0.02593779
  0.02119693  0.01418559  0.01281743  0.01332348  0.01044883  0.00703979
  0.00507349  0.00300529  0.56363636  0.33333333]",6,16,2023-09-16-T171332-chip19894_right_acqm.zip,2170.0,700.0,2023-09-16-T171332,17.0
-1.9396561,3.4540946,"[ 9.06154822e-03  1.02173065e-02  1.11998909e-02  1.47753343e-02
  1.91920431e-02  2.42891768e-02  3.03680654e-02  3.39067766e-02
  3.29338584e-02  3.15708709e-02  3.08352884e-02  2.97536204e-02
  4.13635659e-02  7.73885616e-02  1.19117513e-01  1.36598015e-01
  1.03155004e-01 -2.94179135e-02 -2.72444245e-01 -4.98034907e-01
 -5.35362291e-01 -3.81230070e-01 -1.82425914e-01 -3.91009797e-02
  5.22417047e-02  1.13808558e-01  1.50112077e-01  1.64870220e-01
  1.61322035e-01  1.42324031e-01  1.17517598e-01  9.55484754e-02
  7.72633106e-02  6.28595377e-02  5.29317378e-02  4.34510848e-02
  3.13297148e-02  2.02425448e-02  1.33678649e-02  7.70469957e-03
  1.65302583e-03 -7.41268789e-06  4.98267490e-03  1.04885077e-02
  1.08421460e-02  7.97852118e-03  5.07226844e-03  3.56916568e-04
 -7.48946536e-03 -1.36704744e-02  6.04545455e-01  3.25000000e-01]",2,17,2023-09-16-T171332-chip19894_right_acqm.zip,2327.5,682.5,2023-09-16-T171332,18.0
-1.0350525,9.527627,"[ 2.00740278e-02  2.35465447e-02  2.63655768e-02  2.60604141e-02
  2.49015520e-02  2.79211566e-02  3.22331023e-02  3.07826724e-02
  2.74315930e-02  2.89646747e-02  2.91606971e-02  2.50107820e-02
  2.66910827e-02  2.95034426e-02  2.72180960e-02  6.20051891e-02
  1.56535862e-01  1.91646495e-01  1.12954616e-02 -3.23502623e-01
 -5.52551162e-01 -5.23306977e-01 -3.32698078e-01 -1.45688781e-01
 -2.11011548e-02  5.66313315e-02  1.01219401e-01  1.21496082e-01
  1.27318359e-01  1.22119513e-01  1.11474558e-01  1.02894135e-01
  9.23845184e-02  7.53321499e-02  6.06817993e-02  5.34060754e-02
  4.42015442e-02  3.00079249e-02  2.00971775e-02  1.77884929e-02
  1.68087800e-02  1.32053108e-02  9.17170585e-03  8.46664583e-03
  1.04604982e-02  9.70600487e-03  4.62097925e-03  5.22939866e-04
 -7.99543788e-05 -1.99555930e-03  6.31818182e-01  3.16666667e-01]",8,18,2023-09-16-T171332-chip19894_right_acqm.zip,2432.5,665.0,2023-09-16-T171332,19.0
-1.0264786,9.503718,"[ 2.17681497e-02  2.12617602e-02  1.96447859e-02  1.91082383e-02
  1.93015801e-02  2.03040650e-02  2.27062552e-02  2.52576202e-02
  2.65036338e-02  2.52534440e-02  1.99181484e-02  1.64145243e-02
  2.29051054e-02  2.82805754e-02  2.91446262e-02  7.07846469e-02
  1.62697041e-01  1.71996984e-01 -4.01240852e-02 -3.76346631e-01
 -5.68962879e-01 -4.97914327e-01 -2.91185799e-01 -1.12502065e-01
 -1.20960645e-03  7.02708054e-02  1.12700767e-01  1.26911593e-01
  1.25969080e-01  1.24090331e-01  1.21267348e-01  1.09492735e-01
  9.06218204e-02  7.46225425e-02  6.27131859e-02  5.06969300e-02
  4.12057885e-02  3.62297421e-02  3.16731814e-02  2.74606712e-02
  2.64955722e-02  2.54996611e-02  2.03123266e-02  1.21566067e-02
  3.98613374e-03 -4.84284686e-04  4.16646182e-04  5.60908531e-04
 -4.95909883e-03 -9.83003204e-03  6.31818182e-01  3.16666667e-01]",8,19,2023-09-16-T171332-chip19894_right_acqm.zip,2432.5,665.0,2023-09-16-T171332,20.0
-1.5529605,10.569397,"[ 0.01106702  0.0128119   0.01196179  0.0076311   0.00562255  0.01180222
  0.0170656   0.01307072  0.01396733  0.02608178  0.03309821  0.04210131
  0.06584857  0.07387667  0.08423959  0.18347145  0.29143877  0.16373934
 -0.1943246  -0.46500609 -0.48111251 -0.3766635  -0.27365285 -0.16681893
 -0.06413504  0.00267958  0.04287112  0.07414327  0.09293517  0.10076035
  0.10727571  0.11201258  0.1093149   0.10035397  0.08990917  0.07889383
  0.06622623  0.05413053  0.04455698  0.03515775  0.02576489  0.01955176
  0.01436323  0.00603114 -0.00191023 -0.00441139 -0.00414738 -0.00605086
 -0.0098347  -0.01250551  0.62727273  0.325     ]",0,20,2023-09-16-T171332-chip19894_right_acqm.zip,2415.0,682.5,2023-09-16-T171332,21.0
6.54886,13.202717,"[ 0.02461535  0.03280354  0.04934551  0.06127302  0.06741799  0.06992225
  0.06416256  0.05468327  0.05142381  0.05050218  0.04695639  0.05224472
  0.07322296  0.0930238   0.10034713  0.10805153  0.0959189  -0.0143877
 -0.23901937 -0.44555118 -0.49569049 -0.4086151  -0.2905191  -0.19109271
 -0.10658957 -0.03803349  0.01190073  0.0494975   0.07683279  0.09053042
  0.09231627  0.09284208  0.10211736  0.11375767  0.11289101  0.10250946
  0.09720641  0.09353175  0.07830517  0.05921809  0.05335404  0.05490046
  0.04672491  0.03114145  0.02030039  0.01301367  0.00347771 -0.00567561
 -0.0111662  -0.01377695  0.55        0.36666667]",3,21,2023-09-16-T171332-chip19894_right_acqm.zip,2117.5,770.0,2023-09-16-T171332,22.0
1.7393881,6.704155,"[ 3.53327671e-02  3.90476045e-02  4.46163140e-02  4.89064169e-02
  5.05172167e-02  5.04272898e-02  5.15739224e-02  5.36526041e-02
  5.35177674e-02  5.38697900e-02  5.80548312e-02  6.07275313e-02
  6.01838317e-02  6.03575621e-02  5.15231545e-02  2.67680892e-02
 -6.39796937e-04 -5.34959070e-02 -1.95525714e-01 -3.97775261e-01
 -5.10775167e-01 -4.55427980e-01 -3.13657907e-01 -1.82523156e-01
 -7.82375825e-02  2.86439845e-03  5.33141091e-02  8.34581476e-02
  1.08791025e-01  1.26495600e-01  1.32266453e-01  1.31660851e-01
  1.27430568e-01  1.18037525e-01  1.06086697e-01  9.58028666e-02
  8.76141282e-02  7.98744934e-02  7.13789636e-02  6.16920190e-02
  5.15920221e-02  4.22527806e-02  3.38115090e-02  2.65029317e-02
  2.12506055e-02  1.70883370e-02  1.19172845e-02  7.06675882e-03
  5.11549592e-03  3.58762900e-03  7.09090909e-01  3.75000000e-01]",4,22,2023-09-16-T200001-chip19894_right_acqm.zip,2730.0,787.5,2023-09-16-T200001,0.0
8.036339,7.2962127,"[ 0.0361326   0.04773835  0.0448706   0.05592258  0.07841071  0.08300922
  0.07605324  0.07819949  0.07838221  0.06654173  0.06044383  0.06722632
  0.06560922  0.04190599  0.00892726 -0.01803005 -0.04378513 -0.09572618
 -0.20540514 -0.3571526  -0.46369588 -0.44691394 -0.33112738 -0.20411024
 -0.11348243 -0.04957656  0.00452413  0.04819732  0.07179295  0.07649913
  0.08514581  0.11392418  0.14059012  0.13829778  0.12412204  0.12599437
  0.13218102  0.12332619  0.10901225  0.09595816  0.07656861  0.06080068
  0.06243514  0.06526009  0.04887395  0.02452136  0.01118163  0.00220593
 -0.01257749 -0.01975432  0.59545455  0.33333333]",1,23,2023-09-16-T200001-chip19894_right_acqm.zip,2292.5,700.0,2023-09-16-T200001,1.0
1.7924821,6.7979856,"[ 0.0452202   0.04520122  0.04377143  0.04590075  0.04817655  0.04751188
  0.05001162  0.05873029  0.06488306  0.06321024  0.05890787  0.05492308
  0.05301459  0.05485501  0.04745105  0.02264691 -0.00306386 -0.04983617
 -0.18742308 -0.39395227 -0.51468634 -0.46007509 -0.3134399  -0.18160126
 -0.08095517  0.00085125  0.05534578  0.08306302  0.10157444  0.11992192
  0.13301349  0.134958    0.12710465  0.11629439  0.10774454  0.10004551
  0.08910726  0.07590319  0.06541123  0.05830175  0.05090696  0.04284949
  0.03605298  0.02896013  0.02088851  0.01620138  0.01555168  0.01211939
  0.00400632 -0.00140313  0.70909091  0.375     ]",4,24,2023-09-16-T200001-chip19894_right_acqm.zip,2730.0,787.5,2023-09-16-T200001,3.0
1.6561912,6.36591,"[ 0.04039942  0.04494669  0.04835845  0.04999008  0.05316986  0.05736901
  0.05807024  0.05534692  0.05398094  0.05615308  0.05714383  0.05292245
  0.05124577  0.05520931  0.04632174  0.01980199 -0.00749513 -0.06913175
 -0.22743513 -0.4271018  -0.51305873 -0.43519347 -0.28961294 -0.16079136
 -0.05998405  0.0136905   0.05896253  0.08860648  0.11090886  0.12314174
  0.12814641  0.13109552  0.12901106  0.11920508  0.10707449  0.0980177
  0.09029277  0.08030678  0.06888878  0.05869558  0.04974088  0.04038964
  0.0308725   0.02374422  0.01961477  0.01520814  0.00931488  0.0053222
  0.00414619  0.002434    0.70909091  0.375     ]",4,25,2023-09-16-T200001-chip19894_right_acqm.zip,2730.0,787.5,2023-09-16-T200001,4.0
5.956626,7.706446,"[ 0.0569631   0.06062923  0.06252703  0.06532578  0.06850881  0.07040073
  0.07220437  0.07505285  0.07822813  0.08025442  0.07844894  0.07350095
  0.0701401   0.06414259  0.0475717   0.02787363 -0.00335927 -0.10124777
 -0.28437224 -0.45349183 -0.49248259 -0.40692059 -0.28286221 -0.17307604
 -0.08511749 -0.01936316  0.02526101  0.05374182  0.07040463  0.07972929
  0.08578089  0.08946245  0.09060996  0.08965059  0.08696547  0.08354872
  0.0802264   0.07628309  0.07169778  0.06823067  0.06604162  0.06322505
  0.05962922  0.05604501  0.05072984  0.04296915  0.0363511   0.03198349
  0.02521454  0.01486981  0.68636364  0.375     ]",15,26,2023-09-16-T200001-chip19894_right_acqm.zip,2642.5,787.5,2023-09-16-T200001,5.0
